space_id,dataset_id,subject_id,freq,data_time,open,high,low,close,volume,quote_volume
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T00:00:00Z,65043.99,65065.01,64765.12,64824.58,352.45343,22876740.1339942
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T01:00:00Z,64824.57,64853.08,64644.48,64674.35,610.2003100000001,39490595.096953
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T02:00:00Z,64674.35,64755.99,64488.0,64490.87,350.99185,22663017.4091236
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T03:00:00Z,64490.87,64840.0,64490.86,64792.01,379.79444,24556380.1262968
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T04:00:00Z,64792.0,64885.99,64714.0,64746.01,289.24746,18744503.5745307
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T05:00:00Z,64746.01,64964.96,64602.5,64944.06,686.5094,44428561.405967
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T06:00:00Z,64944.06,65277.37,64814.0,64814.0,974.06143,63357389.0814918
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T07:00:00Z,64814.01,64876.0,64485.0,64549.34,1209.74716,78196461.07060081
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T08:00:00Z,64549.33,64797.02,64549.33,64768.01,958.47053,62009500.8512336
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T09:00:00Z,64768.0,64917.94,64653.18,64671.83,542.47841,35158818.2158306
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T10:00:00Z,64671.84,64855.56,64614.0,64663.0,316.30209,20467657.2687534
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T11:00:00Z,64663.0,64767.37,64616.11,64732.15,500.13863,32358687.1046917
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T12:00:00Z,64732.15,65249.9,64606.0,65164.0,1837.40143,119231761.7289393
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T13:00:00Z,65164.0,65577.0,64888.0,65117.99,1942.12357,126827754.6608841
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T14:00:00Z,65118.0,65517.05,65070.0,65399.81,1187.13269,77547190.7989859
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T15:00:00Z,65399.8,65600.0,65261.71,65427.61,1153.25811,75449236.7804924
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T16:00:00Z,65427.6,65470.0,64784.83,65120.79,1423.19665,92630468.4490048
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T17:00:00Z,65120.8,65194.72,64972.95,65056.1,1119.69712,72840642.5011165
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T18:00:00Z,65056.1,65143.57,64847.42,64860.0,1076.85531,70017332.5520931
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T19:00:00Z,64860.0,65000.0,64738.49,64977.34,377.96921,24530349.1343762
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T20:00:00Z,64977.34,65055.39,64899.0,64968.01,239.51973,15565796.0568706
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T21:00:00Z,64968.02,65018.74,64789.89,64834.31,289.23644,18762786.3035126
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T22:00:00Z,64834.31,64982.47,64772.0,64866.93,275.16571,17849617.4605068
crypto,binance_spot_kline_1h,BTC-USDT,1h,2026-07-15T23:00:00Z,64866.93,64938.0,64691.89,64756.28,309.9463,20087076.0022689
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T00:00:00Z,1891.87,1893.32,1878.13,1881.58,9550.6408,17997493.386882998
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T01:00:00Z,1881.58,1881.98,1867.23,1870.2,10644.9734,19940515.485681
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T02:00:00Z,1870.19,1873.04,1864.38,1864.6,8096.6475,15119123.343624
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T03:00:00Z,1864.6,1878.96,1864.46,1876.08,6856.5606,12832826.118257
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T04:00:00Z,1876.08,1880.59,1873.31,1876.49,5458.1045,10246464.298194
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T05:00:00Z,1876.5,1883.54,1871.64,1882.68,5911.7597,11088300.881866
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T06:00:00Z,1882.69,1891.89,1875.52,1875.87,11821.1832,22287971.341263
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T07:00:00Z,1875.87,1877.16,1864.7,1870.04,13148.2806,24589166.77547
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T08:00:00Z,1870.04,1879.64,1870.03,1879.22,7626.3554,14297677.554768
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T09:00:00Z,1879.22,1886.59,1879.18,1879.86,11037.7879,20772683.704944
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T10:00:00Z,1879.86,1886.55,1874.98,1878.11,10094.6306,18980921.296654
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T11:00:00Z,1878.12,1885.71,1877.48,1884.62,6327.1196,11904351.136742
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T12:00:00Z,1884.62,1929.94,1879.25,1927.16,40956.8654,78153201.069382
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T13:00:00Z,1927.17,1946.52,1917.16,1925.76,55492.8037,107369245.657328
crypto,binance_spot_kline_1h,ETH-USDT,1h,2026-07-15T14:00:00Z,1925.77,1935.51,1919.12,1933.23,25792.0082,49754190.848132
