space_id,dataset_id,subject_id,freq,data_time,series_tag,open,high,low,close,volume,quote_volume
crypto,spot_kline_1h,ADA-USD,1h,2026-07-15T00:00:00Z,venue:okx,0.1655,0.1656,0.1644,0.1644,51277.1597,8467.6700284
crypto,spot_kline_1h,ADA-USD,1h,2026-07-15T01:00:00Z,venue:okx,0.1644,0.1648,0.1632,0.1635,101571.9585,16636.56908651
crypto,spot_kline_1h,ADA-USD,1h,2026-07-15T02:00:00Z,venue:okx,0.1635,0.1635,0.162,0.1627,109668.2755,17843.305571060002
crypto,spot_kline_1h,ADA-USD,1h,2026-07-15T03:00:00Z,venue:okx,0.1627,0.1641,0.1625,0.1641,113682.9605,18578.22782763
crypto,spot_kline_1h,ADA-USD,1h,2026-07-15T04:00:00Z,venue:okx,0.164,0.1642,0.1631,0.1636,109664.6479,17949.7307637
crypto,spot_kline_1h,ADA-USD,1h,2026-07-15T05:00:00Z,venue:okx,0.1635,0.1641,0.1629,0.1641,51350.207200000004,8386.0310074
crypto,spot_kline_1h,ADA-USD,1h,2026-07-15T06:00:00Z,venue:okx,0.1643,0.1654,0.1642,0.1642,91877.51139999999,15123.22598212
crypto,spot_kline_1h,ADA-USD,1h,2026-07-15T07:00:00Z,venue:okx,0.1641,0.1641,0.1626,0.1631,73977.2807,12094.90024563
crypto,spot_kline_1h,ADA-USD,1h,2026-07-15T08:00:00Z,venue:okx,0.163,0.1637,0.1627,0.1637,15890.0576,2592.70923683
crypto,spot_kline_1h,ADA-USD,1h,2026-07-15T09:00:00Z,venue:okx,0.1637,0.1653,0.1637,0.1642,75979.398,12507.30596679
crypto,spot_kline_1h,ADA-USD,1h,2026-07-15T10:00:00Z,venue:okx,0.164,0.1646,0.164,0.1644,38381.9883,6307.80965379
crypto,spot_kline_1h,ADA-USD,1h,2026-07-15T11:00:00Z,venue:okx,0.1644,0.1653,0.1643,0.1645,78749.1828,12972.99450995
crypto,spot_kline_1h,ADA-USD,1h,2026-07-15T12:00:00Z,venue:okx,0.1646,0.1669,0.1641,0.1669,147689.3942,24434.20281967
crypto,spot_kline_1h,ADA-USD,1h,2026-07-15T13:00:00Z,venue:okx,0.167,0.1692,0.1658,0.1662,176185.9089,29524.67812969
